Topic,Part 1,Part 2
Psychology Facts,Your brain can't multitask effectively.,Multitasking is a myth – it's just rapid switching between tasks.
Crush Facts,Having a crush can feel like a rollercoaster.,"One day you're on cloud nine, the next in the depths of despair."
Male Facts,Men blink less frequently than women.,"So, if he can't take his eyes off you, he's really captivated."
Girls Facts,Girls have a stronger sense of smell.,She might notice your cologne or the snack you're hiding.
Relationship Facts,Holding hands can synchronize your heartbeats.,Love isn't just in the air; it's in your pulses too.
Mind Tricks,The Zeigarnik Effect makes you remember incomplete tasks.,It's why that unfinished book bothers you at night.
Social Media,Scrolling your feed releases dopamine.,Likes and comments are your digital high-fives.
First Impressions,People decide if they like you in the first 7 seconds.,"So, make those seconds count with your charisma."
Love Chemistry,Love releases the same chemicals as chocolate.,Now you know why love feels sweet (and addictive).
Fear of Rejection,The fear of rejection is hardwired into your brain.,"But remember, courage is the antidote to rejection."
Texting Behavior,Punctuation can be emotionally loaded.,A period can make a sentence sound cold and final.
Body Language,Over 90% of communication is non-verbal.,Your body spills the beans even when your lips don't.
Jealousy,Jealousy can be a sign of insecurity.,Work on self-confidence to combat the green-eyed monster.
Memory Tricks,Chewing gum while studying can boost memory.,It's like giving your brain a little workout.
Emotional Impact,Emotions are contagious.,Hang around positive people to catch the happiness bug.
Gender Communication,Men tend to be more direct in communication.,"""What's wrong?"" ""Nothing"" might mean something."
Love Hormones,"Oxytocin, the ""love hormone,"" is released during hugs.","So, hug like you mean it!"
Overthinking,Overthinking can lead to insomnia.,"Your mind's racing, but your body's begging for sleep."
Personality Traits,People with dogs tend to be more extroverted.,Furry friends can bring out your sociable side.
Online Dating,Over 50% of online daters lie on their profiles.,"Honesty is still the best policy, especially in love."
Social Pressure,Conformity is a powerful force.,"It's why you might end up wearing a trendy, but uncomfortable, outfit."
Decision Making,Too many choices can lead to decision fatigue.,Ever felt exhausted after shopping? That's why.
Romantic Movies,Romantic movies can raise unrealistic expectations.,Real love isn't always as scripted.
Flirting Techniques,Mirroring body language can be a subtle way to flirt.,Try it next time you're trying to connect.
Social Influence,The mere exposure effect makes you like things more with repetition.,"So, don't be surprised if that catchy tune grows on you."
